iso,countryname,year_adm0covariates
AUS,Australia,1995-2012
AUT,Austria,1995-2012
BEL,Belgium,1995-2012
BGD,Bangladesh,1995-2012
BHS,"Bahamas, The",1995-2012
BLZ,Belize,1995-2012
BRB,Barbados,1995-2012
CAN,Canada,1995-2012
CHE,Switzerland,1995-2012
COL,Colombia,1995-2012
CRI,Costa Rica,1995-2012
CZE,Czech Republic,1995-2012
DEU,Germany,1995-2012
DZA,Algeria,1995-2012
EGY,"Egypt, Arab Rep.",1995-2012
ESP,Spain,1995-2012
EST,Estonia,1995-2012
FIN,Finland,1995-2012
FRA,France,1995-2012
GBR,United Kingdom,1995-2012
GRC,Greece,1995-2012
HKG,"Hong Kong SAR, China",1995-2012
HND,Honduras,1995-2012
HUN,Hungary,1995-2012
IND,India,1995-2012
IRL,Ireland,1995-2012
ITA,Italy,1995-2012
JAM,Jamaica,1995-2012
JPN,Japan,1995-2012
KAZ,Kazakhstan,1995-2012
KEN,Kenya,1995-2012
LKA,Sri Lanka,1995-2012
LTU,Lithuania,1995-2012
MAR,Morocco,1995-2012
MDA,Moldova,1995-2012
MEX,Mexico,1995-2012
MKD,"Macedonia, FYR",1995-2012
MNG,Mongolia,1995-2012
NLD,Netherlands,1995-2012
NOR,Norway,1995-2012
NZL,New Zealand,1995-2012
PAK,Pakistan,1995-2012
PHL,Philippines,1995-2012
POL,Poland,1995-2012
PRT,Portugal,1995-2012
PRY,Paraguay,1995-2012
ROU,Romania,1995-2012
SGP,Singapore,1995-2012
SLV,El Salvador,1995-2012
SRB,Serbia,1995-2012
SWE,Sweden,1995-2012
THA,Thailand,1995-2012
TJK,Tajikistan,1995-2012
UGA,Uganda,1995-2012
URY,Uruguay,1995-2012
USA,United States,1995-2012
VEN,"Venezuela, RB",1995-2012
ZAF,South Africa,1995-2012
